G.STA. CLAR,"A, SON","(31 42 N, 114 30 W)"
Fecha Inici,al: 2018/0,01-ene
Fecha Final,:   2018/1,ene-13
Zona de Tie,mpo: 0,
Intervalo d,e Muestreo,: 60 minuto(s)
Nivel de Re,ferencia:,Bajamar Media Inferior (NBMI)
Alturas en,metros,
02/06/2018,21 00 00,3.519
02/06/2018,22 00 00,4.231
02/06/2018,23 00 00,4.589
03/06/2018,00 00 00,4.537
03/06/2018,01 00 00,4.12
03/06/2018,02 00 00,3.462
03/06/2018,03 00 00,2.736
03/06/2018,04 00 00,2.121
03/06/2018,05 00 00,1.758
03/06/2018,06 00 00,1.718
03/06/2018,07 00 00,1.987
03/06/2018,08 00 00,2.469
03/06/2018,09 00 00,3.011
03/06/2018,10 00 00,3.445
03/06/2018,11 00 00,3.63
03/06/2018,12 00 00,3.494
03/06/2018,13 00 00,3.056
03/06/2018,14 00 00,2.417
03/06/2018,15 00 00,1.739
03/06/2018,16 00 00,1.2
03/06/2018,17 00 00,0.943
03/06/2018,18 00 00,1.042
03/06/2018,19 00 00,1.481
03/06/2018,20 00 00,2.163
03/06/2018,21 00 00,2.933
03/06/2018,22 00 00,3.624
03/06/2018,23 00 00,4.095
04/06/2018,00 00 00,4.261
04/06/2018,01 00 00,4.114
04/06/2018,02 00 00,3.712
04/06/2018,03 00 00,3.169
04/06/2018,04 00 00,2.618
04/06/2018,05 00 00,2.186
04/06/2018,06 00 00,1.962
04/06/2018,07 00 00,1.981
04/06/2018,08 00 00,2.214
04/06/2018,09 00 00,2.577
04/06/2018,10 00 00,2.955
04/06/2018,11 00 00,3.225
04/06/2018,12 00 00,3.297
04/06/2018,13 00 00,3.134
04/06/2018,14 00 00,2.764
04/06/2018,15 00 00,2.274
04/06/2018,16 00 00,1.79
04/06/2018,17 00 00,1.439
04/06/2018,18 00 00,1.317
04/06/2018,19 00 00,1.462
04/06/2018,20 00 00,1.847
04/06/2018,21 00 00,2.388
04/06/2018,22 00 00,2.968
04/06/2018,23 00 00,3.469
05/06/2018,00 00 00,3.793
05/06/2018,01 00 00,3.89
05/06/2018,02 00 00,3.759
05/06/2018,03 00 00,3.445
05/06/2018,04 00 00,3.029
05/06/2018,05 00 00,2.602
05/06/2018,06 00 00,2.253
05/06/2018,07 00 00,2.047
05/06/2018,08 00 00,2.014
05/06/2018,09 00 00,2.143
05/06/2018,10 00 00,2.382
05/06/2018,11 00 00,2.653
05/06/2018,12 00 00,2.871
05/06/2018,13 00 00,2.963
05/06/2018,14 00 00,2.893
05/06/2018,15 00 00,2.669
05/06/2018,16 00 00,2.345
05/06/2018,17 00 00,2.005
05/06/2018,18 00 00,1.74
05/06/2018,19 00 00,1.623
05/06/2018,20 00 00,1.693
05/06/2018,21 00 00,1.941
05/06/2018,22 00 00,2.321
05/06/2018,23 00 00,2.755
06/06/2018,00 00 00,3.158
06/06/2018,01 00 00,3.455
06/06/2018,02 00 00,3.593
06/06/2018,03 00 00,3.551
06/06/2018,04 00 00,3.34
06/06/2018,05 00 00,3.003
06/06/2018,06 00 00,2.605
06/06/2018,07 00 00,2.223
06/06/2018,08 00 00,1.93
06/06/2018,09 00 00,1.781
06/06/2018,10 00 00,1.8
06/06/2018,11 00 00,1.971
06/06/2018,12 00 00,2.241
06/06/2018,13 00 00,2.532
06/06/2018,14 00 00,2.758
06/06/2018,15 00 00,2.854
06/06/2018,16 00 00,2.79
06/06/2018,17 00 00,2.581
06/06/2018,18 00 00,2.283
06/06/2018,19 00 00,1.977
06/06/2018,20 00 00,1.75
06/06/2018,21 00 00,1.667
06/06/2018,22 00 00,1.761
06/06/2018,23 00 00,2.022
07/06/2018,00 00 00,2.402
07/06/2018,01 00 00,2.825
07/06/2018,02 00 00,3.202
07/06/2018,03 00 00,3.451
07/06/2018,04 00 00,3.512
07/06/2018,05 00 00,3.36
07/06/2018,06 00 00,3.014
07/06/2018,07 00 00,2.536
07/06/2018,08 00 00,2.022
07/06/2018,09 00 00,1.583
07/06/2018,10 00 00,1.317
07/06/2018,11 00 00,1.285
07/06/2018,12 00 00,1.492
07/06/2018,13 00 00,1.883
07/06/2018,14 00 00,2.355
07/06/2018,15 00 00,2.783
07/06/2018,16 00 00,3.053
07/06/2018,17 00 00,3.094
07/06/2018,18 00 00,2.896
07/06/2018,19 00 00,2.516
07/06/2018,20 00 00,2.057
07/06/2018,21 00 00,1.644
07/06/2018,22 00 00,1.392
07/06/2018,23 00 00,1.373
08/06/2018,00 00 00,1.606
08/06/2018,01 00 00,2.045
08/06/2018,02 00 00,2.591
08/06/2018,03 00 00,3.116
08/06/2018,04 00 00,3.49
08/06/2018,05 00 00,3.61
08/06/2018,06 00 00,3.429
08/06/2018,07 00 00,2.968
08/06/2018,08 00 00,2.317
08/06/2018,09 00 00,1.62
08/06/2018,10 00 00,1.04
08/06/2018,11 00 00,0.718
08/06/2018,12 00 00,0.741
08/06/2018,13 00 00,1.106
08/06/2018,14 00 00,1.726
08/06/2018,15 00 00,2.445
08/06/2018,16 00 00,3.08
08/06/2018,17 00 00,3.467
08/06/2018,18 00 00,3.51
08/06/2018,19 00 00,3.201
08/06/2018,20 00 00,2.625
08/06/2018,21 00 00,1.938
08/06/2018,22 00 00,1.322
08/06/2018,23 00 00,0.941
09/06/2018,00 00 00,0.9
09/06/2018,01 00 00,1.214
09/06/2018,02 00 00,1.811
09/06/2018,03 00 00,2.544
09/06/2018,04 00 00,3.228
09/06/2018,05 00 00,3.681
09/06/2018,06 00 00,3.773
09/06/2018,07 00 00,3.458
09/06/2018,08 00 00,2.79
09/06/2018,09 00 00,1.915
09/06/2018,10 00 00,1.039
09/06/2018,11 00 00,0.38
09/06/2018,12 00 00,0.109
09/06/2018,13 00 00,0.309
09/06/2018,14 00 00,0.94
09/06/2018,15 00 00,1.855
09/06/2018,16 00 00,2.829
09/06/2018,17 00 00,3.617
09/06/2018,18 00 00,4.023
09/06/2018,19 00 00,3.948
09/06/2018,20 00 00,3.417
09/06/2018,21 00 00,2.575
09/06/2018,22 00 00,1.643
09/06/2018,23 00 00,0.865
10/06/2018,00 00 00,0.442
10/06/2018,01 00 00,0.483
10/06/2018,02 00 00,0.976
10/06/2018,03 00 00,1.793
10/06/2018,04 00 00,2.722
10/06/2018,05 00 00,3.516
10/06/2018,06 00 00,3.959
10/06/2018,07 00 00,3.917
10/06/2018,08 00 00,3.376
10/06/2018,09 00 00,2.447
10/06/2018,10 00 00,1.349
10/06/2018,11 00 00,0.353
10/06/2018,12 00 00,-0.284
10/06/2018,13 00 00,-0.386
10/06/2018,14 00 00,0.096
10/06/2018,15 00 00,1.059
10/06/2018,16 00 00,2.278
10/06/2018,17 00 00,3.456
10/06/2018,18 00 00,4.304
10/06/2018,19 00 00,4.614
10/06/2018,20 00 00,4.318
10/06/2018,21 00 00,3.499
10/06/2018,22 00 00,2.377
10/06/2018,23 00 00,1.244
11/06/2018,00 00 00,0.39
11/06/2018,01 00 00,0.03
11/06/2018,02 00 00,0.248
11/06/2018,03 00 00,0.978
11/06/2018,04 00 00,2.022
11/06/2018,05 00 00,3.098
11/06/2018,06 00 00,3.916
11/06/2018,07 00 00,4.246
11/06/2018,08 00 00,3.978
11/06/2018,09 00 00,3.155
11/06/2018,10 00 00,1.965
11/06/2018,11 00 00,0.697
11/06/2018,12 00 00,-0.326
11/06/2018,13 00 00,-0.832
11/06/2018,14 00 00,-0.667
11/06/2018,15 00 00,0.154
11/06/2018,16 00 00,1.452
11/06/2018,17 00 00,2.923
11/06/2018,18 00 00,4.213
11/06/2018,19 00 00,5.01
11/06/2018,20 00 00,5.128
11/06/2018,21 00 00,4.55
11/06/2018,22 00 00,3.438
11/06/2018,23 00 00,2.084
12/06/2018,00 00 00,0.839
12/06/2018,01 00 00,0.015
12/06/2018,02 00 00,-0.188
12/06/2018,03 00 00,0.264
12/06/2018,04 00 00,1.237
12/06/2018,05 00 00,2.459
12/06/2018,06 00 00,3.597
12/06/2018,07 00 00,4.337
12/06/2018,08 00 00,4.463
12/06/2018,09 00 00,3.918
12/06/2018,10 00 00,2.816
12/06/2018,11 00 00,1.417
12/06/2018,12 00 00,0.07
12/06/2018,13 00 00,-0.875
12/06/2018,14 00 00,-1.159
12/06/2018,15 00 00,-0.681
12/06/2018,16 00 00,0.474
12/06/2018,17 00 00,2.047
12/06/2018,18 00 00,3.669
12/06/2018,19 00 00,4.956
12/06/2018,20 00 00,5.604
12/06/2018,21 00 00,5.471
12/06/2018,22 00 00,4.611
12/06/2018,23 00 00,3.258
13/06/2018,00 00 00,1.769
13/06/2018,01 00 00,0.522
13/06/2018,02 00 00,-0.174
13/06/2018,03 00 00,-0.162
13/06/2018,04 00 00,0.529
13/06/2018,05 00 00,1.695
13/06/2018,06 00 00,3.008
13/06/2018,07 00 00,4.105
13/06/2018,08 00 00,4.68
13/06/2018,09 00 00,4.556
13/06/2018,10 00 00,3.741
13/06/2018,11 00 00,2.417
13/06/2018,12 00 00,0.907
13/06/2018,13 00 00,-0.409
13/06/2018,14 00 00,-1.187
13/06/2018,15 00 00,-1.204
13/06/2018,16 00 00,-0.424
13/06/2018,17 00 00,0.993
13/06/2018,18 00 00,2.728
13/06/2018,19 00 00,4.374
13/06/2018,20 00 00,5.548
13/06/2018,21 00 00,5.982
13/06/2018,22 00 00,5.593
13/06/2018,23 00 00,4.505
14/06/2018,00 00 00,3.014
14/06/2018,01 00 00,1.506
14/06/2018,02 00 00,0.362
14/06/2018,03 00 00,-0.143
14/06/2018,04 00 00,0.092
14/06/2018,05 00 00,0.973
14/06/2018,06 00 00,2.241
14/06/2018,07 00 00,3.538
14/06/2018,08 00 00,4.504
14/06/2018,09 00 00,4.863
14/06/2018,10 00 00,4.498
14/06/2018,11 00 00,3.477
14/06/2018,12 00 00,2.039
14/06/2018,13 00 00,0.538
14/06/2018,14 00 00,-0.646
14/06/2018,15 00 00,-1.201
14/06/2018,16 00 00,-0.96
14/06/2018,17 00 00,0.048
14/06/2018,18 00 00,1.609
14/06/2018,19 00 00,3.365
14/06/2018,20 00 00,4.911
14/06/2018,21 00 00,5.892
14/06/2018,22 00 00,6.093
14/06/2018,23 00 00,5.495
15/06/2018,00 00 00,4.278
15/06/2018,01 00 00,2.768
15/06/2018,02 00 00,1.355
15/06/2018,03 00 00,0.388
15/06/2018,04 00 00,0.09
15/06/2018,05 00 00,0.502
15/06/2018,06 00 00,1.481
15/06/2018,07 00 00,2.739
15/06/2018,08 00 00,3.921
15/06/2018,09 00 00,4.696
15/06/2018,10 00 00,4.842
15/06/2018,11 00 00,4.298
15/06/2018,12 00 00,3.181
15/06/2018,13 00 00,1.759
15/06/2018,14 00 00,0.383
15/06/2018,15 00 00,-0.598
15/06/2018,16 00 00,-0.923
15/06/2018,17 00 00,-0.485
15/06/2018,18 00 00,0.637
15/06/2018,19 00 00,2.198
15/06/2018,20 00 00,3.841
15/06/2018,21 00 00,5.19
15/06/2018,22 00 00,5.941
15/06/2018,23 00 00,5.941
16/06/2018,00 00 00,5.223
16/06/2018,01 00 00,3.995
16/06/2018,02 00 00,2.582
16/06/2018,03 00 00,1.345
16/06/2018,04 00 00,0.581
16/06/2018,05 00 00,0.455
16/06/2018,06 00 00,0.959
16/06/2018,07 00 00,1.925
16/06/2018,08 00 00,3.068
16/06/2018,09 00 00,4.066
16/06/2018,10 00 00,4.64
16/06/2018,11 00 00,4.623
16/06/2018,12 00 00,4.002
16/06/2018,13 00 00,2.92
16/06/2018,14 00 00,1.636
16/06/2018,15 00 00,0.469
16/06/2018,16 00 00,-0.284
16/06/2018,17 00 00,-0.422
16/06/2018,18 00 00,0.114
16/06/2018,19 00 00,1.217
16/06/2018,20 00 00,2.643
16/06/2018,21 00 00,4.07
16/06/2018,22 00 00,5.174
16/06/2018,23 00 00,5.712
17/06/2018,00 00 00,5.584
17/06/2018,01 00 00,4.852
17/06/2018,02 00 00,3.722
17/06/2018,03 00 00,2.491
17/06/2018,04 00 00,1.465
17/06/2018,05 00 00,0.881
17/06/2018,06 00 00,0.853
17/06/2018,07 00 00,1.347
17/06/2018,08 00 00,2.198
17/06/2018,09 00 00,3.154
17/06/2018,10 00 00,3.946
17/06/2018,11 00 00,4.356
17/06/2018,12 00 00,4.265
17/06/2018,13 00 00,3.686
17/06/2018,14 00 00,2.754
17/06/2018,15 00 00,1.695
17/06/2018,16 00 00,0.771
17/06/2018,17 00 00,0.217
17/06/2018,18 00 00,0.185
17/06/2018,19 00 00,0.701
17/06/2018,20 00 00,1.663
17/06/2018,21 00 00,2.859
17/06/2018,22 00 00,4.02
17/06/2018,23 00 00,4.887
18/06/2018,00 00 00,5.273
18/06/2018,01 00 00,5.11
18/06/2018,02 00 00,4.463
18/06/2018,03 00 00,3.511
18/06/2018,04 00 00,2.496
18/06/2018,05 00 00,1.663
18/06/2018,06 00 00,1.195
18/06/2018,07 00 00,1.175
18/06/2018,08 00 00,1.567
18/06/2018,09 00 00,2.236
18/06/2018,10 00 00,2.984
18/06/2018,11 00 00,3.603
18/06/2018,12 00 00,3.928
18/06/2018,13 00 00,3.868
18/06/2018,14 00 00,3.435
18/06/2018,15 00 00,2.73
18/06/2018,16 00 00,1.925
18/06/2018,17 00 00,1.218
18/06/2018,18 00 00,0.791
18/06/2018,19 00 00,0.759
18/06/2018,20 00 00,1.15
18/06/2018,21 00 00,1.887
18/06/2018,22 00 00,2.813
18/06/2018,23 00 00,3.721
19/06/2018,00 00 00,4.409
19/06/2018,01 00 00,4.729
19/06/2018,02 00 00,4.62
19/06/2018,03 00 00,4.126
19/06/2018,04 00 00,3.377
19/06/2018,05 00 00,2.557
19/06/2018,06 00 00,1.856
19/06/2018,07 00 00,1.42
19/06/2018,08 00 00,1.325
19/06/2018,09 00 00,1.559
19/06/2018,10 00 00,2.034
19/06/2018,11 00 00,2.612
19/06/2018,12 00 00,3.138
19/06/2018,13 00 00,3.477
19/06/2018,14 00 00,3.544
19/06/2018,15 00 00,3.323
19/06/2018,16 00 00,2.864
19/06/2018,17 00 00,2.279
19/06/2018,18 00 00,1.713
19/06/2018,19 00 00,1.31
19/06/2018,20 00 00,1.181
19/06/2018,21 00 00,1.374
19/06/2018,22 00 00,1.86
19/06/2018,23 00 00,2.539
20/06/2018,00 00 00,3.26
20/06/2018,01 00 00,3.859
20/06/2018,02 00 00,4.199
20/06/2018,03 00 00,4.205
20/06/2018,04 00 00,3.88
20/06/2018,05 00 00,3.304
20/06/2018,06 00 00,2.61
20/06/2018,07 00 00,1.951
20/06/2018,08 00 00,1.465
20/06/2018,09 00 00,1.245
20/06/2018,10 00 00,1.318
20/06/2018,11 00 00,1.648
20/06/2018,12 00 00,2.143
20/06/2018,13 00 00,2.681
20/06/2018,14 00 00,3.131
20/06/2018,15 00 00,3.387
20/06/2018,16 00 00,3.387
20/06/2018,17 00 00,3.131
20/06/2018,18 00 00,2.68
20/06/2018,19 00 00,2.146
20/06/2018,20 00 00,1.666
20/06/2018,21 00 00,1.371
20/06/2018,22 00 00,1.348
20/06/2018,23 00 00,1.619
21/06/2018,00 00 00,2.13
21/06/2018,01 00 00,2.764
21/06/2018,02 00 00,3.367
21/06/2018,03 00 00,3.79
21/06/2018,04 00 00,3.925
21/06/2018,05 00 00,3.731
21/06/2018,06 00 00,3.248
21/06/2018,07 00 00,2.58
21/06/2018,08 00 00,1.875
21/06/2018,09 00 00,1.285
21/06/2018,10 00 00,0.936
21/06/2018,11 00 00,0.901
21/06/2018,12 00 00,1.18
21/06/2018,13 00 00,1.708
21/06/2018,14 00 00,2.36
21/06/2018,15 00 00,2.987
21/06/2018,16 00 00,3.442
21/06/2018,17 00 00,3.616
21/06/2018,18 00 00,3.468
21/06/2018,19 00 00,3.032
21/06/2018,20 00 00,2.421
21/06/2018,21 00 00,1.791
21/06/2018,22 00 00,1.312
21/06/2018,23 00 00,1.114
22/06/2018,00 00 00,1.259
22/06/2018,01 00 00,1.716
22/06/2018,02 00 00,2.37
22/06/2018,03 00 00,3.049
22/06/2018,04 00 00,3.574
22/06/2018,05 00 00,3.798
22/06/2018,06 00 00,3.651
22/06/2018,07 00 00,3.153
22/06/2018,08 00 00,2.413
22/06/2018,09 00 00,1.596
22/06/2018,10 00 00,0.893
22/06/2018,11 00 00,0.466
22/06/2018,12 00 00,0.418
22/06/2018,13 00 00,0.765
22/06/2018,14 00 00,1.434
22/06/2018,15 00 00,2.274
22/06/2018,16 00 00,3.092
22/06/2018,17 00 00,3.697
22/06/2018,18 00 00,3.947
22/06/2018,19 00 00,3.781
22/06/2018,20 00 00,3.245
22/06/2018,21 00 00,2.476
22/06/2018,22 00 00,1.674
22/06/2018,23 00 00,1.051
23/06/2018,00 00 00,0.771
23/06/2018,01 00 00,0.91
23/06/2018,02 00 00,1.428
23/06/2018,03 00 00,2.184
23/06/2018,04 00 00,2.97
23/06/2018,05 00 00,3.565
23/06/2018,06 00 00,3.797
23/06/2018,07 00 00,3.588
23/06/2018,08 00 00,2.971
23/06/2018,09 00 00,2.086
23/06/2018,10 00 00,1.142
23/06/2018,11 00 00,0.367
23/06/2018,12 00 00,-0.047
23/06/2018,13 00 00,0.009
23/06/2018,14 00 00,0.535
23/06/2018,15 00 00,1.419
23/06/2018,16 00 00,2.463
23/06/2018,17 00 00,3.426
23/06/2018,18 00 00,4.085
23/06/2018,19 00 00,4.284
23/06/2018,20 00 00,3.98
23/06/2018,21 00 00,3.257
23/06/2018,22 00 00,2.301
23/06/2018,23 00 00,1.362
24/06/2018,00 00 00,0.685
24/06/2018,01 00 00,0.444
24/06/2018,02 00 00,0.696
24/06/2018,03 00 00,1.366
24/06/2018,04 00 00,2.26
24/06/2018,05 00 00,3.127
24/06/2018,06 00 00,3.716
24/06/2018,07 00 00,3.852
24/06/2018,08 00 00,3.479
24/06/2018,09 00 00,2.672
24/06/2018,10 00 00,1.623
24/06/2018,11 00 00,0.59
24/06/2018,12 00 00,-0.169
24/06/2018,13 00 00,-0.457
24/06/2018,14 00 00,-0.189
24/06/2018,15 00 00,0.588
24/06/2018,16 00 00,1.705
24/06/2018,17 00 00,2.907
24/06/2018,18 00 00,3.918
24/06/2018,19 00 00,4.502
24/06/2018,20 00 00,4.528
24/06/2018,21 00 00,3.998
24/06/2018,22 00 00,3.055
24/06/2018,23 00 00,1.944
25/06/2018,00 00 00,0.955
25/06/2018,01 00 00,0.342
25/06/2018,02 00 00,0.258
25/06/2018,03 00 00,0.713
25/06/2018,04 00 00,1.569
25/06/2018,05 00 00,2.58
25/06/2018,06 00 00,3.453
25/06/2018,07 00 00,3.935
25/06/2018,08 00 00,3.876
25/06/2018,09 00 00,3.268
25/06/2018,10 00 00,2.254
25/06/2018,11 00 00,1.082
25/06/2018,12 00 00,0.048
25/06/2018,13 00 00,-0.58
25/06/2018,14 00 00,-0.635
25/06/2018,15 00 00,-0.083
25/06/2018,16 00 00,0.962
25/06/2018,17 00 00,2.264
25/06/2018,18 00 00,3.526
25/06/2018,19 00 00,4.456
25/06/2018,20 00 00,4.842
25/06/2018,21 00 00,4.604
25/06/2018,22 00 00,3.813
25/06/2018,23 00 00,2.681
26/06/2018,00 00 00,1.501
26/06/2018,01 00 00,0.578
26/06/2018,02 00 00,0.146
26/06/2018,03 00 00,0.305
26/06/2018,04 00 00,0.996
26/06/2018,05 00 00,2.013
26/06/2018,06 00 00,3.062
26/06/2018,07 00 00,3.838
26/06/2018,08 00 00,4.111
26/06/2018,09 00 00,3.786
26/06/2018,10 00 00,2.928
26/06/2018,11 00 00,1.749
26/06/2018,12 00 00,0.547
26/06/2018,13 00 00,-0.369
26/06/2018,14 00 00,-0.756
26/06/2018,15 00 00,-0.501
26/06/2018,16 00 00,0.354
26/06/2018,17 00 00,1.62
26/06/2018,18 00 00,3.008
26/06/2018,19 00 00,4.199
26/06/2018,20 00 00,4.922
26/06/2018,21 00 00,5.017
26/06/2018,22 00 00,4.479
26/06/2018,23 00 00,3.458
27/06/2018,00 00 00,2.221
27/06/2018,01 00 00,1.089
27/06/2018,02 00 00,0.349
27/06/2018,03 00 00,0.184
27/06/2018,04 00 00,0.619
27/06/2018,05 00 00,1.517
27/06/2018,06 00 00,2.614
27/06/2018,07 00 00,3.59
27/06/2018,08 00 00,4.161
27/06/2018,09 00 00,4.148
27/06/2018,10 00 00,3.536
27/06/2018,11 00 00,2.47
27/06/2018,12 00 00,1.219
27/06/2018,13 00 00,0.107
27/06/2018,14 00 00,-0.574
27/06/2018,15 00 00,-0.638
27/06/2018,16 00 00,-0.049
27/06/2018,17 00 00,1.066
27/06/2018,18 00 00,2.456
27/06/2018,19 00 00,3.801
27/06/2018,20 00 00,4.794
27/06/2018,21 00 00,5.214
27/06/2018,22 00 00,4.98
27/06/2018,23 00 00,4.169
28/06/2018,00 00 00,3
28/06/2018,01 00 00,1.776
28/06/2018,02 00 00,0.811
28/06/2018,03 00 00,0.344
28/06/2018,04 00 00,0.482
28/06/2018,05 00 00,1.166
28/06/2018,06 00 00,2.189
28/06/2018,07 00 00,3.251
28/06/2018,08 00 00,4.042
28/06/2018,09 00 00,4.323
28/06/2018,10 00 00,3.998
28/06/2018,11 00 00,3.133
28/06/2018,12 00 00,1.946
28/06/2018,13 00 00,0.742
28/06/2018,14 00 00,-0.161
28/06/2018,15 00 00,-0.522
28/06/2018,16 00 00,-0.234
28/06/2018,17 00 00,0.653
28/06/2018,18 00 00,1.937
28/06/2018,19 00 00,3.325
28/06/2018,20 00 00,4.499
28/06/2018,21 00 00,5.196
28/06/2018,22 00 00,5.271
28/06/2018,23 00 00,4.729
29/06/2018,00 00 00,3.725
29/06/2018,01 00 00,2.524
29/06/2018,02 00 00,1.433
29/06/2018,03 00 00,0.726
29/06/2018,04 00 00,0.573
29/06/2018,05 00 00,0.993
29/06/2018,06 00 00,1.849
29/06/2018,07 00 00,2.887
29/06/2018,08 00 00,3.802
29/06/2018,09 00 00,4.321
29/06/2018,10 00 00,4.28
29/06/2018,11 00 00,3.668
29/06/2018,12 00 00,2.633
29/06/2018,13 00 00,1.439
29/06/2018,14 00 00,0.398
29/06/2018,15 00 00,-0.212
29/06/2018,16 00 00,-0.222
29/06/2018,17 00 00,0.388
29/06/2018,18 00 00,1.483
29/06/2018,19 00 00,2.814
29/06/2018,20 00 00,4.074
29/06/2018,21 00 00,4.979
29/06/2018,22 00 00,5.336
29/06/2018,23 00 00,5.083
30/06/2018,00 00 00,4.308
30/06/2018,01 00 00,3.22
30/06/2018,02 00 00,2.103
30/06/2018,03 00 00,1.236
30/06/2018,04 00 00,0.832
30/06/2018,05 00 00,0.976
30/06/2018,06 00 00,1.607
30/06/2018,07 00 00,2.532
30/06/2018,08 00 00,3.477
30/06/2018,09 00 00,4.163
30/06/2018,10 00 00,4.378
30/06/2018,11 00 00,4.042
30/06/2018,12 00 00,3.223
30/06/2018,13 00 00,2.128
30/06/2018,14 00 00,1.039
30/06/2018,15 00 00,0.244
30/06/2018,16 00 00,-0.041
30/06/2018,17 00 00,0.269
30/06/2018,18 00 00,1.113
30/06/2018,19 00 00,2.298
30/06/2018,20 00 00,3.551
30/06/2018,21 00 00,4.585
30/06/2018,22 00 00,5.175
30/06/2018,23 00 00,5.204
01/07/2018,00 00 00,4.692
01/07/2018,01 00 00,3.789
01/07/2018,02 00 00,2.733
01/07/2018,03 00 00,1.79
01/07/2018,04 00 00,1.192
01/07/2018,05 00 00,1.075
01/07/2018,06 00 00,1.449
01/07/2018,07 00 00,2.191
01/07/2018,08 00 00,3.079
01/07/2018,09 00 00,3.852
01/07/2018,10 00 00,4.277
01/07/2018,11 00 00,4.216
01/07/2018,12 00 00,3.664
01/07/2018,13 00 00,2.75
01/07/2018,14 00 00,1.709
01/07/2018,15 00 00,0.811
01/07/2018,16 00 00,0.296
01/07/2018,17 00 00,0.307
01/07/2018,18 00 00,0.854
01/07/2018,19 00 00,1.813
01/07/2018,20 00 00,2.962
01/07/2018,21 00 00,4.036
01/07/2018,22 00 00,4.796
01/07/2018,23 00 00,5.081
02/07/2018,00 00 00,4.849
02/07/2018,01 00 00,4.183
02/07/2018,02 00 00,3.261
02/07/2018,03 00 00,2.32
02/07/2018,04 00 00,1.59
02/07/2018,05 00 00,1.242
02/07/2018,06 00 00,1.346
02/07/2018,07 00 00,1.853
02/07/2018,08 00 00,2.605
02/07/2018,09 00 00,3.384
02/07/2018,10 00 00,3.96
02/07/2018,11 00 00,4.157
02/07/2018,12 00 00,3.903
02/07/2018,13 00 00,3.248
02/07/2018,14 00 00,2.355
02/07/2018,15 00 00,1.454
02/07/2018,16 00 00,0.782
02/07/2018,17 00 00,0.52
02/07/2018,18 00 00,0.745
02/07/2018,19 00 00,1.41
02/07/2018,20 00 00,2.361
02/07/2018,21 00 00,3.377
02/07/2018,22 00 00,4.224
02/07/2018,23 00 00,4.718
03/07/2018,00 00 00,4.763
03/07/2018,01 00 00,4.371
03/07/2018,02 00 00,3.656
03/07/2018,03 00 00,2.802
03/07/2018,04 00 00,2.018
03/07/2018,05 00 00,1.488
03/07/2018,06 00 00,1.327
03/07/2018,07 00 00,1.554
03/07/2018,08 00 00,2.091
03/07/2018,09 00 00,2.776
03/07/2018,10 00 00,3.413
03/07/2018,11 00 00,3.817
03/07/2018,12 00 00,3.863
03/07/2018,13 00 00,3.527
03/07/2018,14 00 00,2.886
03/07/2018,15 00 00,2.104
03/07/2018,16 00 00,1.385
03/07/2018,17 00 00,0.92
03/07/2018,18 00 00,0.837
03/07/2018,19 00 00,1.164
03/07/2018,20 00 00,1.828
03/07/2018,21 00 00,2.673
03/07/2018,22 00 00,3.502
03/07/2018,23 00 00,4.127
04/07/2018,00 00 00,4.417
04/07/2018,01 00 00,4.32
04/07/2018,02 00 00,3.877
04/07/2018,03 00 00,3.203
04/07/2018,04 00 00,2.464
04/07/2018,05 00 00,1.83
04/07/2018,06 00 00,1.441
04/07/2018,07 00 00,1.373
04/07/2018,08 00 00,1.623
04/07/2018,09 00 00,2.109
04/07/2018,10 00 00,2.691
04/07/2018,11 00 00,3.204
04/07/2018,12 00 00,3.505
04/07/2018,13 00 00,3.505
04/07/2018,14 00 00,3.198
04/07/2018,15 00 00,2.661
04/07/2018,16 00 00,2.033
04/07/2018,17 00 00,1.483
04/07/2018,18 00 00,1.158
04/07/2018,19 00 00,1.148
04/07/2018,20 00 00,1.462
04/07/2018,21 00 00,2.027
04/07/2018,22 00 00,2.712
04/07/2018,23 00 00,3.357
05/07/2018,00 00 00,3.818
05/07/2018,01 00 00,3.999
05/07/2018,02 00 00,3.867
05/07/2018,03 00 00,3.464
05/07/2018,04 00 00,2.884
05/07/2018,05 00 00,2.259
05/07/2018,06 00 00,1.725
05/07/2018,07 00 00,1.391
05/07/2018,08 00 00,1.322
05/07/2018,09 00 00,1.517
05/07/2018,10 00 00,1.914
05/07/2018,11 00 00,2.405
05/07/2018,12 00 00,2.858
05/07/2018,13 00 00,3.153
05/07/2018,14 00 00,3.211
05/07/2018,15 00 00,3.018
05/07/2018,16 00 00,2.626
05/07/2018,17 00 00,2.141
05/07/2018,18 00 00,1.695
05/07/2018,19 00 00,1.409
05/07/2018,20 00 00,1.36
05/07/2018,21 00 00,1.566
05/07/2018,22 00 00,1.981
05/07/2018,23 00 00,2.506
06/07/2018,00 00 00,3.02
06/07/2018,01 00 00,3.408
06/07/2018,02 00 00,3.583
06/07/2018,03 00 00,3.508
06/07/2018,04 00 00,3.196
06/07/2018,05 00 00,2.713
06/07/2018,06 00 00,2.157
06/07/2018,07 00 00,1.643
06/07/2018,08 00 00,1.277
06/07/2018,09 00 00,1.133
06/07/2018,10 00 00,1.238
06/07/2018,11 00 00,1.563
06/07/2018,12 00 00,2.025
06/07/2018,13 00 00,2.511
06/07/2018,14 00 00,2.9
06/07/2018,15 00 00,3.097
06/07/2018,16 00 00,3.057
