G.STA. CLAR,"A, SON","(31 42 N, 114 30 W)"
Fecha Inici,al: 2018/0,01-ene
Fecha Final,:   2018/1,ene-13
Zona de Tie,mpo: 0,
Intervalo d,e Muestreo,: 60 minuto(s)
Nivel de Re,ferencia:,Bajamar Media Inferior (NBMI)
Alturas en,metros,
14/01/2018,09 00 00,4.343
14/01/2018,10 00 00,3.653
14/01/2018,11 00 00,2.668
14/01/2018,12 00 00,1.647
14/01/2018,13 00 00,0.855
14/01/2018,14 00 00,0.494
14/01/2018,15 00 00,0.647
14/01/2018,16 00 00,1.259
14/01/2018,17 00 00,2.144
14/01/2018,18 00 00,3.041
14/01/2018,19 00 00,3.685
14/01/2018,20 00 00,3.877
14/01/2018,21 00 00,3.544
14/01/2018,22 00 00,2.753
14/01/2018,23 00 00,1.699
15/01/2018,00 00 00,0.65
15/01/2018,01 00 00,-0.121
15/01/2018,02 00 00,-0.405
15/01/2018,03 00 00,-0.113
15/01/2018,04 00 00,0.706
15/01/2018,05 00 00,1.873
15/01/2018,06 00 00,3.125
15/01/2018,07 00 00,4.174
15/01/2018,08 00 00,4.781
15/01/2018,09 00 00,4.813
15/01/2018,10 00 00,4.277
15/01/2018,11 00 00,3.32
15/01/2018,12 00 00,2.193
15/01/2018,13 00 00,1.188
15/01/2018,14 00 00,0.563
15/01/2018,15 00 00,0.474
15/01/2018,16 00 00,0.929
15/01/2018,17 00 00,1.788
15/01/2018,18 00 00,2.797
15/01/2018,19 00 00,3.66
15/01/2018,20 00 00,4.119
15/01/2018,21 00 00,4.026
15/01/2018,22 00 00,3.383
15/01/2018,23 00 00,2.343
16/01/2018,00 00 00,1.171
16/01/2018,01 00 00,0.171
16/01/2018,02 00 00,-0.39
16/01/2018,03 00 00,-0.354
16/01/2018,04 00 00,0.292
16/01/2018,05 00 00,1.409
16/01/2018,06 00 00,2.745
16/01/2018,07 00 00,3.992
16/01/2018,08 00 00,4.865
16/01/2018,09 00 00,5.168
16/01/2018,10 00 00,4.845
16/01/2018,11 00 00,3.992
16/01/2018,12 00 00,2.836
16/01/2018,13 00 00,1.677
16/01/2018,14 00 00,0.812
16/01/2018,15 00 00,0.46
16/01/2018,16 00 00,0.699
16/01/2018,17 00 00,1.45
16/01/2018,18 00 00,2.49
16/01/2018,19 00 00,3.517
16/01/2018,20 00 00,4.227
16/01/2018,21 00 00,4.405
16/01/2018,22 00 00,3.976
16/01/2018,23 00 00,3.036
17/01/2018,00 00 00,1.818
17/01/2018,01 00 00,0.638
17/01/2018,02 00 00,-0.192
17/01/2018,03 00 00,-0.446
17/01/2018,04 00 00,-0.042
17/01/2018,05 00 00,0.941
17/01/2018,06 00 00,2.28
17/01/2018,07 00 00,3.664
17/01/2018,08 00 00,4.775
17/01/2018,09 00 00,5.36
17/01/2018,10 00 00,5.298
17/01/2018,11 00 00,4.622
17/01/2018,12 00 00,3.517
17/01/2018,13 00 00,2.272
17/01/2018,14 00 00,1.206
17/01/2018,15 00 00,0.588
17/01/2018,16 00 00,0.568
17/01/2018,17 00 00,1.135
17/01/2018,18 00 00,2.12
17/01/2018,19 00 00,3.238
17/01/2018,20 00 00,4.165
17/01/2018,21 00 00,4.626
17/01/2018,22 00 00,4.471
17/01/2018,23 00 00,3.718
18/01/2018,00 00 00,2.549
18/01/2018,01 00 00,1.264
18/01/2018,02 00 00,0.198
18/01/2018,03 00 00,-0.364
18/01/2018,04 00 00,-0.263
18/01/2018,05 00 00,0.494
18/01/2018,06 00 00,1.735
